"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-9242.D707_D504","1",1000001,235500000,1.001,2.04,348,174000000,348,2,0.05
2,"SLX-9242.D707_D504","1",235500001,248500000,0.94,-0.400000000000002,19,9500000,19,2,0.05
3,"SLX-9242.D707_D504","10",1,134000000,1.018,2.72,210,105000000,210,2,0.05
4,"SLX-9242.D707_D504","11",500001,134500000,0.995,1.8,215,107500000,215,2,0.05
5,"SLX-9242.D707_D504","12",1000001,30500000,1.012,2.48,51,25500000,51,2,0.05
6,"SLX-9242.D707_D504","12",31500001,45500000,0.954,0.159999999999998,16,8000000,16,2,0.05
7,"SLX-9242.D707_D504","12",45500001,59500000,1.008,2.32,21,10500000,21,2,0.05
8,"SLX-9242.D707_D504","12",59500001,88500000,0.955,0.199999999999998,49,24500000,49,2,0.05
9,"SLX-9242.D707_D504","12",88500001,93000000,1.054,4.16,8,4000000,8,2,0.05
10,"SLX-9242.D707_D504","12",93000001,125000000,0.954,0.159999999999998,57,28500000,57,2,0.05
11,"SLX-9242.D707_D504","12",126000001,133500000,0.89,-2.4,11,5500000,11,2,0.05
12,"SLX-9242.D707_D504","13",20000001,115169878,0.982,1.28,166,82669878,165.339756,2,0.05
13,"SLX-9242.D707_D504","14",20500001,106000000,0.997,1.88,150,75000000,150,2,0.05
14,"SLX-9242.D707_D504","15",22000001,102500000,0.938,-0.480000000000002,134,67000000,134,2,0.05
15,"SLX-9242.D707_D504","16",500001,28000000,0.919,-1.24,37,18500000,37,2,0.05
16,"SLX-9242.D707_D504","16",28500001,90000000,1.003,2.12,81,40500000,81,2,0.05
17,"SLX-9242.D707_D504","17",1,8500000,0.893,-2.28,16,8000000,16,2,0.05
18,"SLX-9242.D707_D504","17",8500001,15500000,0.809,-5.64,14,7000000,14,2,0.05
19,"SLX-9242.D707_D504","17",16000001,81000000,0.898,-2.08,91,45500000,91,2,0.05
20,"SLX-9242.D707_D504","18",500001,78077248,0.959,0.359999999999999,127,63077248,126.154496,2,0.05
21,"SLX-9242.D707_D504","19",1000001,39000000,0.906,-1.76,52,26000000,52,2,0.05
22,"SLX-9242.D707_D504","19",39000001,59000000,0.971,0.839999999999999,27,13500000,27,2,0.05
23,"SLX-9242.D707_D504","2",1000001,243000000,0.979,1.16,385,192500000,385,2,0.05
24,"SLX-9242.D707_D504","20",1,62500000,0.98,1.2,106,53000000,106,2,0.05
25,"SLX-9242.D707_D504","21",15500001,48000000,0.91,-1.6,51,25500000,51,2,0.05
26,"SLX-9242.D707_D504","22",19000001,51000000,0.882,-2.72,54,27000000,54,2,0.05
27,"SLX-9242.D707_D504","3",1,29500000,1.098,5.92,49,24500000,49,2,0.05
28,"SLX-9242.D707_D504","3",29500001,73000000,1.151,8.04,81,40500000,81,2,0.05
29,"SLX-9242.D707_D504","3",73500001,160000000,1.04,3.6,142,71000000,142,2,0.05
