"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-12455.D704_D508","1",1000001,154500000,1.017,2.68,207,103500000,207,2,0.05
2,"SLX-12455.D704_D508","1",154500001,187500000,1.071,4.84,59,29500000,59,2,0.05
3,"SLX-12455.D704_D508","1",187500001,210500000,1.012,2.48,41,20500000,41,2,0.05
4,"SLX-12455.D704_D508","1",211000001,248500000,1.071,4.84,60,30000000,60,2,0.05
5,"SLX-12455.D704_D508","10",1,77000000,0.992,1.68,112,56000000,112,2,0.05
6,"SLX-12455.D704_D508","10",77000001,89500000,0.917,-1.32,20,10000000,20,2,0.05
7,"SLX-12455.D704_D508","10",89500001,106000000,0.969,0.759999999999999,28,14000000,28,2,0.05
8,"SLX-12455.D704_D508","10",106500001,112500000,0.919,-1.24,11,5500000,11,2,0.05
9,"SLX-12455.D704_D508","10",112500001,134000000,1.001,2.04,39,19500000,39,2,0.05
10,"SLX-12455.D704_D508","11",500001,62500000,1.027,3.08,96,48000000,96,2,0.05
11,"SLX-12455.D704_D508","11",62500001,134500000,1.077,5.08,119,59500000,119,2,0.05
12,"SLX-12455.D704_D508","12",1000001,82500000,0.916,-1.36,127,63500000,127,2,0.05
13,"SLX-12455.D704_D508","12",82500001,125000000,0.95,-0.00000000000000177635683940025,75,37500000,75,2,0.05
14,"SLX-12455.D704_D508","12",126000001,133500000,0.897,-2.12,11,5500000,11,2,0.05
15,"SLX-12455.D704_D508","13",20000001,52500000,1.152,8.08,57,28500000,57,2,0.05
16,"SLX-12455.D704_D508","13",52500001,115169878,1.116,6.64,109,54169878,108.339756,2,0.05
17,"SLX-12455.D704_D508","14",20500001,51500000,1.078,5.12,55,27500000,55,2,0.05
18,"SLX-12455.D704_D508","14",51500001,106000000,1.024,2.96,95,47500000,95,2,0.05
19,"SLX-12455.D704_D508","15",22000001,32500000,0.88,-2.8,12,6000000,12,2,0.05
