"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-10729.D711_D501","1",1000001,248500000,1.006,2.24,367,183500000,367,2,0.05
2,"SLX-10729.D711_D501","10",1,134000000,0.993,1.72,210,105000000,210,2,0.05
3,"SLX-10729.D711_D501","11",500001,134500000,1,2,215,107500000,215,2,0.05
4,"SLX-10729.D711_D501","12",1000001,133500000,1.006,2.24,213,106500000,213,2,0.05
5,"SLX-10729.D711_D501","13",20000001,115169878,0.987,1.48,166,82669878,165.339756,2,0.05
6,"SLX-10729.D711_D501","14",20500001,106000000,0.993,1.72,150,75000000,150,2,0.05
7,"SLX-10729.D711_D501","15",22000001,102500000,0.993,1.72,134,67000000,134,2,0.05
8,"SLX-10729.D711_D501","16",500001,90000000,0.99,1.6,118,59000000,118,2,0.05
9,"SLX-10729.D711_D501","17",1,81000000,0.987,1.48,121,60500000,121,2,0.05
10,"SLX-10729.D711_D501","18",500001,78077248,0.991,1.64,127,63077248,126.154496,2,0.05
11,"SLX-10729.D711_D501","19",1000001,59000000,1.006,2.24,79,39500000,79,2,0.05
12,"SLX-10729.D711_D501","2",1000001,243000000,1,2,385,192500000,385,2,0.05
13,"SLX-10729.D711_D501","20",1,62500000,0.998,1.92,106,53000000,106,2,0.05
14,"SLX-10729.D711_D501","21",15500001,48000000,0.994,1.76,51,25500000,51,2,0.05
15,"SLX-10729.D711_D501","22",19000001,51000000,0.977,1.08,54,27000000,54,2,0.05
16,"SLX-10729.D711_D501","3",1,113500000,1.056,4.24,193,96500000,193,2,0.05
17,"SLX-10729.D711_D501","3",113500001,162500000,1.013,2.52,82,41000000,82,2,0.05
18,"SLX-10729.D711_D501","3",163000001,197500000,1.062,4.48,60,30000000,60,2,0.05
19,"SLX-10729.D711_D501","4",500001,190000000,0.996,1.84,316,158000000,316,2,0.05
20,"SLX-10729.D711_D501","5",500001,180500000,1.001,2.04,299,149500000,299,2,0.05
21,"SLX-10729.D711_D501","6",500001,170500000,1.009,2.36,283,141500000,283,2,0.05
22,"SLX-10729.D711_D501","7",1,159000000,0.994,1.76,251,125500000,251,2,0.05
23,"SLX-10729.D711_D501","8",500001,146364022,0.999,1.96,243,121364022,242.728044,2,0.05
24,"SLX-10729.D711_D501","9",500001,140500000,0.998,1.92,184,92000000,184,2,0.05
