"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-10729.D703_D502","1",1000001,46500000,1.002,2.08,69,34500000,69,2,0.05
2,"SLX-10729.D703_D502","1",47000001,75500000,0.905,-1.8,53,26500000,53,2,0.05
3,"SLX-10729.D703_D502","1",75500001,248500000,0.999,1.96,245,122500000,245,2,0.05
4,"SLX-10729.D703_D502","10",1,134000000,1.059,4.36,210,105000000,210,2,0.05
5,"SLX-10729.D703_D502","11",500001,134500000,1.001,2.04,215,107500000,215,2,0.05
6,"SLX-10729.D703_D502","12",1000001,133500000,1.004,2.16,213,106500000,213,2,0.05
7,"SLX-10729.D703_D502","13",20000001,115169878,1.142,7.68,166,82669878,165.339756,2,0.05
8,"SLX-10729.D703_D502","14",20500001,106000000,0.969,0.759999999999999,150,75000000,150,2,0.05
9,"SLX-10729.D703_D502","15",22000001,102500000,1.017,2.68,134,67000000,134,2,0.05
10,"SLX-10729.D703_D502","16",500001,90000000,1.037,3.48,118,59000000,118,2,0.05
11,"SLX-10729.D703_D502","17",1,18000000,0.849,-4.04,33,16500000,33,2,0.05
12,"SLX-10729.D703_D502","17",26000001,81000000,1.031,3.24,88,44000000,88,2,0.05
13,"SLX-10729.D703_D502","18",500001,24500000,1.17,8.8,33,16500000,33,2,0.05
14,"SLX-10729.D703_D502","18",24500001,76000000,1.01,2.4,90,45000000,90,2,0.05
15,"SLX-10729.D703_D502","18",76000001,78077248,1.198,9.92,4,1577248,3.154496,2,0.05
16,"SLX-10729.D703_D502","19",1000001,59000000,0.94,-0.400000000000002,79,39500000,79,2,0.05
17,"SLX-10729.D703_D502","2",1000001,243000000,0.988,1.52,385,192500000,385,2,0.05
18,"SLX-10729.D703_D502","20",1,62500000,1.098,5.92,106,53000000,106,2,0.05
19,"SLX-10729.D703_D502","21",15500001,48000000,0.9,-2,51,25500000,51,2,0.05
20,"SLX-10729.D703_D502","22",19000001,51000000,0.858,-3.68,54,27000000,54,2,0.05
21,"SLX-10729.D703_D502","3",1,90000000,1.264,12.56,158,79000000,158,2,0.05
22,"SLX-10729.D703_D502","3",94000001,157000000,0.999,1.96,109,54500000,109,2,0.05
23,"SLX-10729.D703_D502","3",157000001,165500000,1.378,17.12,12,6000000,12,2,0.05
24,"SLX-10729.D703_D502","3",165500001,171000000,2.395,57.8,11,5500000,11,2,0.05
25,"SLX-10729.D703_D502","3",171000001,197500000,1.004,2.16,45,22500000,45,2,0.05
26,"SLX-10729.D703_D502","4",500001,190000000,1.04,3.6,316,158000000,316,2,0.05
27,"SLX-10729.D703_D502","5",500001,180500000,0.893,-2.28,299,149500000,299,2,0.05
28,"SLX-10729.D703_D502","6",500001,170500000,1.035,3.4,283,141500000,283,2,0.05
29,"SLX-10729.D703_D502","7",1,159000000,1.156,8.24,251,125500000,251,2,0.05
30,"SLX-10729.D703_D502","8",500001,146364022,1.136,7.44,243,121364022,242.728044,2,0.05
31,"SLX-10729.D703_D502","9",500001,71500000,0.987,1.48,65,32500000,65,2,0.05
32,"SLX-10729.D703_D502","9",71500001,94500000,1.097,5.88,40,20000000,40,2,0.05
33,"SLX-10729.D703_D502","9",94500001,101500000,1.004,2.16,12,6000000,12,2,0.05
34,"SLX-10729.D703_D502","9",101500001,140500000,1.214,10.56,67,33500000,67,2,0.05
35,"SLX-10729.D703_D502","1",1000001,46500000,1.002,2.04,69,34500000,69,2,0.1
36,"SLX-10729.D703_D502","1",47000001,75500000,0.905,0.100000000000001,53,26500000,53,2,0.1
37,"SLX-10729.D703_D502","1",75500001,248500000,0.999,1.98,245,122500000,245,2,0.1
38,"SLX-10729.D703_D502","10",1,134000000,1.059,3.18,210,105000000,210,2,0.1
39,"SLX-10729.D703_D502","11",500001,134500000,1.001,2.02,215,107500000,215,2,0.1
40,"SLX-10729.D703_D502","12",1000001,133500000,1.004,2.08,213,106500000,213,2,0.1
41,"SLX-10729.D703_D502","13",20000001,115169878,1.142,4.84,166,82669878,165.339756,2,0.1
42,"SLX-10729.D703_D502","14",20500001,106000000,0.969,1.38,150,75000000,150,2,0.1
43,"SLX-10729.D703_D502","15",22000001,102500000,1.017,2.34,134,67000000,134,2,0.1
44,"SLX-10729.D703_D502","16",500001,90000000,1.037,2.74,118,59000000,118,2,0.1
45,"SLX-10729.D703_D502","17",1,18000000,0.849,-1.02,33,16500000,33,2,0.1
